pre.0.weight     torch.Size([24, 3, 3, 3])
stage3.5.residual.0.weight       torch.Size([116, 116, 1, 1])
stage3.5.residual.0.bias         torch.Size([116])
stage3.5.residual.1.weight       torch.Size([116])
stage3.5.residual.1.bias         torch.Size([116])
stage3.5.residual.1.running_mean         torch.Size([116])
stage3.5.residual.1.running_var          torch.Size([116])
stage3.5.residual.1.num_batches_tracked          torch.Size([])
stage3.5.residual.3.weight       torch.Size([116, 1, 3, 3])
stage3.5.residual.3.bias         torch.Size([116])
stage3.5.residual.4.weight       torch.Size([116])
stage3.5.residual.4.bias         torch.Size([116])
stage3.5.residual.4.running_mean         torch.Size([116])
stage3.5.residual.4.running_var          torch.Size([116])
stage3.5.residual.4.num_batches_tracked          torch.Size([])
stage3.5.residual.5.weight       torch.Size([116, 116, 1, 1])
stage3.5.residual.5.bias         torch.Size([116])
stage3.5.residual.6.weight       torch.Size([116])
stage3.5.residual.6.bias         torch.Size([116])
stage3.5.residual.6.running_mean         torch.Size([116])
stage3.5.residual.6.running_var          torch.Size([116])
stage3.5.residual.6.num_batches_tracked          torch.Size([])
stage3.6.residual.0.weight       torch.Size([116, 116, 1, 1])
stage3.6.residual.0.bias         torch.Size([116])
stage3.6.residual.1.weight       torch.Size([116])
stage3.6.residual.1.bias         torch.Size([116])
stage3.6.residual.1.running_mean         torch.Size([116])
stage3.6.residual.1.running_var          torch.Size([116])
stage3.6.residual.1.num_batches_tracked          torch.Size([])
stage3.6.residual.3.weight       torch.Size([116, 1, 3, 3])
stage3.6.residual.3.bias         torch.Size([116])
stage3.6.residual.4.weight       torch.Size([116])
stage3.6.residual.4.bias         torch.Size([116])
stage3.6.residual.4.running_mean         torch.Size([116])
stage3.6.residual.4.running_var          torch.Size([116])
stage3.6.residual.4.num_batches_tracked          torch.Size([])
stage3.6.residual.5.weight       torch.Size([116, 116, 1, 1])
stage3.6.residual.5.bias         torch.Size([116])
stage3.6.residual.6.weight       torch.Size([116])
stage3.6.residual.6.bias         torch.Size([116])
stage3.6.residual.6.running_mean         torch.Size([116])
stage3.6.residual.6.running_var          torch.Size([116])
stage3.6.residual.6.num_batches_tracked          torch.Size([])
stage3.7.residual.0.weight       torch.Size([116, 116, 1, 1])
stage3.7.residual.0.bias         torch.Size([116])
stage3.7.residual.1.weight       torch.Size([116])
stage3.7.residual.1.bias         torch.Size([116])
stage3.7.residual.1.running_mean         torch.Size([116])
stage3.7.residual.1.running_var          torch.Size([116])
stage3.7.residual.1.num_batches_tracked          torch.Size([])
stage3.7.residual.3.weight       torch.Size([116, 1, 3, 3])
stage3.7.residual.3.bias         torch.Size([116])
stage3.7.residual.4.weight       torch.Size([116])
stage3.7.residual.4.bias         torch.Size([116])
stage3.7.residual.4.running_mean         torch.Size([116])
stage3.7.residual.4.running_var          torch.Size([116])
stage3.7.residual.4.num_batches_tracked          torch.Size([])
stage3.7.residual.5.weight       torch.Size([116, 116, 1, 1])
stage3.7.residual.5.bias         torch.Size([116])
stage3.7.residual.6.weight       torch.Size([116])
stage3.7.residual.6.bias         torch.Size([116])
stage3.7.residual.6.running_mean         torch.Size([116])
stage3.7.residual.6.running_var          torch.Size([116])
stage3.7.residual.6.num_batches_tracked          torch.Size([])
stage4.0.residual.0.weight       torch.Size([232, 232, 1, 1])
